series,time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
151,0.455,0.064453,-0.325928,1.095215,-64.977099,-48.603053,-33.564885
151,0.461,0.047119,-0.424805,1.098877,-67.229008,-48.679389,-31.022901
151,0.466,0.018799,-0.469482,1.089111,-70.442748,-44.618321,-30.114504
151,0.471,-0.015381,-0.473877,1.052979,-70.778626,-44.152672,-30.610687
151,0.477,-0.041992,-0.463867,1.001953,-75.603053,-40.312977,-32.679389
151,0.482,-0.06665,-0.458496,0.953857,-79.961832,-41.832061,-35.526718
151,0.494,-0.099854,-0.477783,0.960938,-77.076336,-35.198473,-43.137405
151,0.5,-0.118164,-0.442627,0.987061,-74.793893,-31.244275,-46.549618
151,0.505,-0.129639,-0.354004,0.999756,-75.694656,-31.374046,-49.244275
151,0.51,-0.123047,-0.291504,0.982666,-77.687023,-31.450382,-51.091603
151,0.521,-0.079102,-0.273438,1.028076,-80.305344,-27.519084,-54.198473
151,0.527,-0.076904,-0.228516,1.014648,-71.89313,-26.473282,-54.534351
151,0.533,-0.075195,-0.119385,1.04126,-76.038168,-22.068702,-54.167939
151,0.539,-0.060791,-0.067383,0.981445,-74.938931,-32.709924,-53.320611
151,0.544,-0.026367,-0.034668,0.968262,-71.931298,-32.633588,-52.587786
151,0.549,-0.03833,-0.041748,1.032471,-67.175573,-30.671756,-52.366412
151,0.56,-0.095215,0.090332,1.075928,-62.679389,-29.648855,-49.045802
151,0.566,-0.10083,0.137451,1.018066,-60.198473,-32.801527,-47.244275
151,0.572,-0.095215,0.144531,0.94751,-62.076336,-36.0,-45.19084
151,0.578,-0.090576,0.145508,0.92627,-60.641221,-37.687023,-42.21374
151,0.583,-0.099609,0.168213,0.905273,-61.740458,-35.656489,-38.770992
151,0.594,-0.118408,0.196045,0.846924,-61.839695,-34.572519,-33.679389
151,0.599,-0.112061,0.188965,0.814453,-60.832061,-32.320611,-31.977099
151,0.605,-0.116211,0.19458,0.806396,-57.725191,-29.679389,-29.931298
151,0.61,-0.121826,0.215332,0.799316,-54.687023,-27.007634,-28.259542
151,0.617,-0.135498,0.233887,0.792969,-52.496183,-23.679389,-27.091603
151,0.622,-0.150635,0.252686,0.765869,-50.793893,-21.793893,-25.442748
151,0.633,-0.127686,0.23877,0.731201,-44.396947,-21.916031,-22.389313
151,0.638,-0.137939,0.269287,0.836914,-41.969466,-19.389313,-21.045802
151,0.644,-0.18335,0.305908,0.942383,-42.778626,-18.0,-19.541985
151,0.649,-0.219727,0.336426,0.95166,-42.923664,-21.40458,-17.847328
151,0.654,-0.185303,0.338379,0.871582,-44.358779,-27.19084,-16.259542
151,0.661,-0.146973,0.310791,0.746338,-43.564885,-33.381679,-15.587786
151,0.672,-0.099854,0.240479,0.624268,-33.519084,-37.076336,-16.633588
151,0.677,-0.095703,0.260742,0.603516,-26.740458,-36.236641,-16.938931
151,0.683,-0.110352,0.324707,0.577881,-17.610687,-34.198473,-15.862595
151,0.688,-0.109863,0.393799,0.575928,-10.305344,-31.587786,-13.916031
151,0.693,-0.148193,0.431152,0.586914,-6.862595,-29.007634,-11.312977
151,0.7,-0.181396,0.463867,0.585205,-6.671756,-25.10687,-8.10687
151,0.705,-0.185059,0.471436,0.55835,-4.022901,-26.114504,-4.045802
151,0.716,-0.190186,0.47583,0.461426,-1.778626,-26.625954,1.793893
151,0.722,-0.169189,0.454834,0.42041,3.152672,-27.022901,4.053435
151,0.727,-0.153076,0.485107,0.400391,10.343511,-23.290076,6.534351
151,0.732,-0.13208,0.526123,0.401611,18.961832,-16.152672,9.923664
151,0.738,-0.107666,0.509521,0.433105,29.480916,-11.763359,12.870229
151,0.744,-0.083984,0.470215,0.476807,42.519084,-5.259542,16.564885
151,0.75,-0.092773,0.472412,0.517578,54.496183,-0.51145,22.030534
151,0.755,-0.102783,0.511963,0.524902,64.541985,-2.007634,28.778626
152,0.537,-0.230957,-0.855957,0.882324,-2.251908,36.282443,-29.0
152,0.543,-0.279785,-0.830811,0.803711,28.946565,2.694656,-31.885496
152,0.549,-0.234863,-0.761963,0.868164,21.862595,14.694656,-34.465649
152,0.559,-0.314453,-0.639893,0.943604,12.770992,28.40458,-37.480916
152,0.565,-0.288086,-0.604736,0.951416,0.045802,27.984733,-39.374046
