series,time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class
129,0.864,-0.026123,-0.992188,-0.009033,25.114504,91.435115,72.320611,4
129,0.886,0.099365,-0.922363,0.06665,19.030534,72.618321,65.549618,4
129,0.903,0.087402,-0.921631,0.033203,16.450382,60.198473,61.122137,4
129,0.919,0.001465,-0.920898,-0.049561,13.061069,52.305344,58.229008,4
129,0.942,-0.016602,-0.896729,-0.106689,6.152672,46.671756,57.343511,4
129,0.958,0.037109,-0.898193,-0.11377,0.977099,38.312977,54.755725,4
129,0.974,0.103271,-0.909912,-0.121582,-4.862595,25.152672,49.519084,4
129,0.997,0.092773,-0.852783,-0.098633,-11.068702,7.389313,38.847328,4
129,1.013,0.046875,-0.841309,-0.090088,-14.496183,3.954198,32.70229,4
129,1.031,0.069336,-0.87085,-0.117432,-17.633588,-0.068702,28.519084,4
129,1.052,0.15918,-0.906494,-0.106445,-19.458015,-18.29771,21.931298,4
129,1.07,0.238525,-0.906738,-0.081543,-18.099237,-35.694656,13.274809,4
129,1.086,0.263184,-0.900391,-0.016113,-15.442748,-46.587786,2.198473,4
129,1.108,0.264893,-0.910889,0.025879,-7.641221,-50.916031,-12.572519,4
129,1.125,0.234375,-0.927002,0.013184,-1.541985,-44.977099,-24.587786,4
129,1.141,0.243408,-0.89624,-0.033936,3.526718,-34.40458,-39.70229,4
129,1.164,0.803711,-0.664551,1.228271,59.938931,-71.80916,-57.091603,4
129,1.186,-0.708496,-1.059082,0.47583,54.091603,-17.160305,-87.267176,4
129,1.203,-0.602051,-1.601807,-0.282715,32.572519,103.59542,-85.923664,4
129,1.225,-0.619385,-1.162109,0.100586,-4.053435,163.167939,-52.557252,4
129,1.247,1.077148,-2.0,-2.0,39.923664,94.984733,-71.793893,4
129,1.264,0.362549,-0.899658,0.062256,96.572519,-156.175573,-91.244275,4
129,1.286,-0.797119,-0.365479,0.46582,17.847328,-171.618321,-75.732824,4
129,1.303,-0.415283,-1.034424,0.464355,-11.244275,22.007634,-65.091603,4
129,1.325,0.019775,-1.152832,0.140625,-19.343511,87.877863,-45.51145,4
129,1.341,0.115723,-0.991455,0.139893,-27.343511,50.465649,-39.580153,4
129,1.363,0.085205,-1.065186,-0.010742,-32.694656,-36.015267,-38.496183,4
129,1.38,-0.083984,-1.036621,0.050293,-31.389313,-46.038168,-36.015267,4
129,1.397,-0.168701,-0.985596,0.06543,-29.305344,-20.015267,-31.419847,4
129,1.419,0.038818,-0.987793,0.018066,-26.625954,2.580153,-24.679389,4
129,1.436,0.062012,-0.989746,0.001709,-24.732824,-5.900763,-21.793893,4
129,1.453,-0.046631,-1.009521,0.039062,-22.816794,-9.206107,-19.328244,4
129,1.475,-0.086426,-1.02124,0.016846,-18.625954,0.954198,-17.312977,4
129,1.491,-0.046387,-1.029785,0.010986,-15.748092,6.969466,-16.572519,4
129,1.508,-0.013916,-1.009277,0.012451,-13.557252,7.900763,-16.244275,4
129,1.525,0.028076,-0.995605,0.02002,-12.778626,1.832061,-15.832061,4
129,1.542,0.012939,-0.99707,-0.010742,-11.221374,-3.618321,-14.740458,4
129,1.564,0.036865,-1.020752,-0.000488,-8.603053,-4.007634,-11.824427,4
129,1.581,0.008789,-1.010254,-0.021484,-6.824427,-4.862595,-10.343511,4
129,1.597,0.008057,-1.033203,0.025879,-6.717557,-8.687023,-10.007634,4
129,1.613,-0.041992,-1.039795,0.026611,-8.48855,-9.946565,-10.145038,4
129,1.631,-0.039307,-1.048584,0.031982,-10.992366,-6.801527,-10.526718,4
129,1.647,-0.021484,-1.039795,0.042725,-14.068702,-1.557252,-10.305344,4
129,1.663,-0.023926,-1.016113,0.024658,-15.78626,2.061069,-11.0,4
130,0.261,-0.524414,-1.069824,0.041748,43.076336,-105.740458,-0.030534,4
130,0.266,-0.557129,-1.085205,0.006348,43.259542,-104.206107,2.022901,4
130,0.272,-0.583252,-1.098633,-0.047607,43.022901,-101.740458,4.419847,4
130,0.277,-0.613525,-1.105225,-0.059814,42.59542,-98.679389,7.312977,4
130,0.289,-0.736816,-1.096436,-0.036377,42.160305,-87.21374,15.503817,4
130,0.295,-0.798584,-1.106445,-0.015869,41.587786,-77.366412,20.961832,4
130,0.3,-0.810791,-1.100098,0.008545,41.137405,-65.0,26.717557,4
130,0.305,-0.821045,-1.110596,0.00708,40.305344,-50.358779,32.832061,4
130,0.311,-0.809814,-1.115967,-0.009521,39.70229,-35.48855,38.389313,4
130,0.322,-0.760986,-1.120117,-0.051025,36.274809,-7.900763,48.717557,4
130,0.328,-0.746582,-1.116211,-0.063477,33.748092,4.091603,53.244275,4
130,0.333,-0.69458,-1.108887,-0.066406,31.610687,14.442748,57.045802,4
